,Chain,Time_Between_Disturbances,Centroid
0,storm -> biotic-dieback,1.0,POINT (922147.6207447151 6933319.719476636)
0,storm -> biotic-dieback,0.0,POINT (650874.5510555052 6928941.8473211685)
0,storm -> biotic-dieback,0.00821917808219178,POINT (697825.8378711594 6928648.109759331)
0,biotic-dieback -> biotic-mortality,0.0,POINT (694794.8290650446 6928364.955256663)
0,storm -> biotic-dieback,2.5013698630136987,POINT (910159.9808926535 6932198.896835692)
0,biotic-dieback -> biotic-mortality,0.5013698630136987,POINT (905904.4409821128 6931459.722678519)
0,storm -> biotic-dieback,0.00821917808219178,POINT (615085.0931686015 6928336.0709265685)
1,biotic-dieback -> biotic-mortality,0.989041095890411,POINT (615085.0931686015 6928336.0709265685)
0,storm -> biotic-dieback,0.0,POINT (758686.2638860524 6927598.4052769225)
0,storm -> biotic-dieback,0.4986301369863014,POINT (543520.257637568 6929190.537805528)
1,storm -> biotic-dieback,0.0,POINT (874098.90447681 6928714.38553619)
0,biotic-dieback -> biotic-mortality,0.0,POINT (758070.4575236782 6926030.242648171)
0,storm -> biotic-dieback,0.0,POINT (758147.9961132958 6925987.408621828)
0,storm -> biotic-dieback,0.0,POINT (659563.4380987245 6925802.465006969)
0,storm -> biotic-dieback,0.4986301369863014,POINT (758198.093963618 6925967.055251694)
0,storm -> biotic-dieback,0.0,POINT (547706.3096640616 6927614.621328802)
0,storm -> biotic-dieback,0.0,POINT (624054.2408908008 6925922.60761747)
0,storm -> biotic-dieback,0.0,POINT (915648.0800391453 6929234.818058704)
0,storm -> biotic-dieback,0.0,POINT (865578.9929580374 6927535.677441241)
0,biotic-dieback -> biotic-mortality,0.989041095890411,POINT (729221.1878546464 6925154.937989565)
0,storm -> biotic-dieback,0.0,POINT (868836.7359825647 6927547.295262841)
0,storm -> biotic-dieback,0.0,POINT (925440.4242531343 6929348.581241923)
0,storm -> biotic-dieback,1.0,POINT (571910.1120160121 6926419.7510722745)
0,storm -> biotic-dieback,2.5013698630136987,POINT (909958.3678191872 6928541.827996946)
0,biotic-dieback -> fire,2.0,POINT (760809.6135465441 6924688.400558753)
0,storm -> biotic-dieback,0.0,POINT (548385.1740296857 6926314.333567596)
0,storm -> biotic-dieback,0.0,POINT (548578.3000439409 6926213.829889133)
0,storm -> biotic-dieback,0.4986301369863014,POINT (828099.8765299693 6925566.825262015)
0,storm -> biotic-dieback,0.0,POINT (548554.8861752467 6926096.528461957)
0,biotic-dieback -> fire,2.0,POINT (763232.9128988179 6924090.671987909)
0,storm -> biotic-dieback,0.5013698630136987,POINT (838197.7944929686 6925453.030751001)
0,biotic-dieback -> fire,2.0,POINT (763121.1606004821 6924007.151867639)
0,biotic-dieback -> biotic-mortality,0.4986301369863014,POINT (832819.4550839182 6924867.259569724)
0,storm -> biotic-dieback,1.0,POINT (855281.2281777147 6924612.869730896)
0,storm -> biotic-dieback,0.0,POINT (547260.8826720697 6924282.704283109)
0,storm -> biotic-dieback,0.4986301369863014,POINT (572202.5810663375 6923753.466945005)
0,storm -> biotic-dieback,0.4986301369863014,POINT (548514.9121047427 6924028.419344565)
0,storm -> biotic-dieback,0.0,POINT (835513.4530138638 6923610.028212451)
0,biotic-dieback -> biotic-mortality,0.0,POINT (879995.4385592294 6924396.254464116)
0,storm -> biotic-dieback,0.4986301369863014,POINT (940261.4947366806 6926330.980783419)
0,storm -> biotic-dieback,0.00821917808219178,POINT (644089.6495632282 6921160.0494953375)
0,storm -> biotic-dieback,1.0,POINT (950334.6024105031 6926186.917726937)
0,storm -> biotic-dieback,0.0,POINT (880721.9093104902 6923374.05158075)
0,storm -> biotic-dieback,0.0,POINT (946042.4588350327 6925625.168450897)
0,biotic-dieback -> biotic-mortality,1.0,POINT (876845.4000682831 6922904.737812291)
0,storm -> biotic-dieback,1.0054794520547945,POINT (515796.6436800235 6923241.900854791)
0,storm -> biotic-dieback,0.0,POINT (950525.8016758319 6925554.960935082)
0,biotic-dieback -> fire,1.4986301369863013,POINT (557639.2853596514 6921806.2093255315)
0,biotic-dieback -> fire,1.0,POINT (557620.096141206 6921764.953367697)
0,storm -> biotic-dieback,0.0,POINT (947560.7311341444 6925189.461310198)
0,storm -> biotic-dieback,0.0,POINT (947962.7942979067 6925273.658067127)
0,fire -> biotic-dieback,0.0,POINT (915148.4372153839 6923608.666170172)
0,biotic-dieback -> biotic-mortality,1.0,POINT (939497.7481149212 6924007.0590516925)
0,storm -> biotic-dieback,0.5013698630136987,POINT (939639.4677076783 6923968.9070194345)
0,biotic-dieback -> biotic-mortality,0.4958904109589041,POINT (700959.8008756645 6918641.676489469)
0,storm -> biotic-dieback,0.0,POINT (945264.9174644011 6923813.974279943)
0,storm -> biotic-dieback,0.0,POINT (934280.1490918096 6923281.092489883)
0,storm -> biotic-dieback,0.0,POINT (934395.0991820691 6923186.819731686)
0,storm -> biotic-dieback,0.0,POINT (898900.9605357754 6921499.210810424)
0,storm -> biotic-dieback,0.0,POINT (941170.9749007586 6923138.175988611)
0,storm -> biotic-dieback,0.0,POINT (941292.7498870993 6923110.360147893)
0,storm -> biotic-dieback,0.0,POINT (898875.1747513708 6921456.57253308)
0,biotic-dieback -> biotic-mortality,0.5013698630136987,POINT (940986.6024673001 6923239.999969599)
0,storm -> biotic-dieback,0.4986301369863014,POINT (956145.3854929159 6921480.222678519)
